indicator,area_name,area_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Chronic obstructive pulmonary disease (COPD) incidence,Scotland,S00000001,Scotland,2003,2002/03 to 2004/05 financial years; 3-year aggregates,6355.67,186.6,181.77,191.53,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Ayrshire & Arran,S08000015,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,516,191.85,174.65,210.21,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Borders,S08000016,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,135.33,156.42,129.99,186.46,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Dumfries & Galloway,S08000017,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,211.67,175.37,151.47,201.84,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Forth Valley,S08000019,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,326.33,180.94,160.46,203.17,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Grampian,S08000020,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,487.33,144.96,131.7,159.13,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Highland,S08000022,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,338.67,157.65,140.29,176.46,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lothian,S08000024,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,838.33,170.99,159.01,183.6,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Orkney,S08000025,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,16,115.11,64.06,189.4,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Shetland,S08000026,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,13.33,104.45,51.3,184.66,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Western Isles,S08000028,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,31.33,160.71,106.14,231.99,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Fife,S08000029,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,402,169.1,151.95,187.56,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Tayside,S08000030,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,478,163.13,148.14,179.16,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Greater Glasgow & Clyde,S08000031,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,1726.67,236.53,224.73,248.76,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lanarkshire,S08000032,Health board,2003,2002/03 to 2004/05 financial years; 3-year aggregates,834.67,212.31,196.94,228.48,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Clackmannanshire,S12000005,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,61,200.89,149.43,263.17,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dumfries & Galloway,S12000006,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,211.67,175.37,151.47,201.84,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Ayrshire,S12000008,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,192,234.74,200.23,273.16,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Lothian,S12000010,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,102.67,158.12,127.44,193.66,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Renfrewshire,S12000011,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,64.67,108.14,81.89,139.74,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Na h-Eileanan Siar,S12000013,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,31.33,160.71,106.14,231.99,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Falkirk,S12000014,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,176.67,191.8,162.24,224.85,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Highland,S12000017,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,219,152.43,131.47,175.6,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Inverclyde,S12000018,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,134.33,232.63,191.83,279.01,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Midlothian,S12000019,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,109.67,213.56,172.46,260.93,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Moray,S12000020,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,78.33,131.39,102.5,165.58,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Ayrshire,S12000021,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,188.67,195.1,166.69,226.75,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Orkney Islands,S12000023,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,16,115.11,64.06,189.4,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scottish Borders,S12000026,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,135.33,156.42,129.99,186.46,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Shetland Islands,S12000027,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,13.33,104.45,51.3,184.66,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Ayrshire,S12000028,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,135.33,149.39,123.91,178.34,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Lanarkshire,S12000029,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,392.67,196.01,175.75,217.84,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Stirling,S12000030,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,88.67,153.17,121.5,190.26,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeen City,S12000033,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,233,172.33,149.75,197.22,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeenshire,S12000034,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,176,125.43,106.64,146.44,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Argyll & Bute,S12000035,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,119.67,169.31,139.02,204.01,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,City of Edinburgh,S12000036,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,458.67,159.25,144.42,175.15,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Renfrewshire,S12000038,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,204,185,157.97,214.99,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Dunbartonshire,S12000039,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,137,224.78,185.51,269.36,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Lothian,S12000040,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,167.33,199.15,166.51,235.75,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Angus,S12000041,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,120,145.03,119.06,174.78,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dundee City,S12000042,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,206.33,197.3,169.89,227.7,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Dunbartonshire,S12000045,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,100.67,140.62,112.07,173.72,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
